Id,Label,Type
图书馆短视频多平台复测,图书馆短视频多平台复测,linked
2026-06-29-sicas-paper,SICAS 论文精读,learning
2026-06-29-evening-close,晚间闭环 / 图书馆短视频相关研究,learning
cnki_2025_ea327e3e1c,公共图书馆阅读服务类抖音短视频传播效果的影响因素研究,literature
阅读服务类短视频,阅读服务类短视频,concept
fsQCA模糊集定性比较分析,fsQCA模糊集定性比较分析,method
VCEI视频传播效果指数,VCEI视频传播效果指数,method
把关人理论,把关人理论,concept
视频表现-内容-引流协同,视频表现-内容-引流协同,concept
cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,15_CNKI_Frontier
2026-07-03-reading-service-douyin-fsqca-paper,阅读服务类短视频传播效果组态论文精读,learning
多模态视域下图书馆阅读推广短视频用户体验影响机制研究,多模态视域下图书馆阅读推广短视频用户体验影响机制研究,linked
图书馆短视频相关研究,图书馆短视频相关研究,linked
阅读推广,阅读推广,linked
方向链,方向链,concept
Idea Lab,想法实验室,linked
快乐科研闭环,快乐科研闭环,linked
Obsidian 知识图谱,Obsidian 知识图谱,linked
starter_project,研究项目模板,project
可视化使用指南,可视化使用指南,06_Protocols
图表规范,图表规范,06_Protocols
文献阅读规范,文献阅读规范,06_Protocols
科研工作流,科研工作流,06_Protocols
README,CNKI 前沿雷达,15_CNKI_Frontier
2026-06-18-summary,每日摘要 - 2026-06-18,07_Codex_Logs
2026-06-19-summary,每日摘要 - 2026-06-19,07_Codex_Logs
2026-06-20-summary,每日摘要 - 2026-06-20,07_Codex_Logs
2026-06-21-summary,每日摘要 - 2026-06-21,07_Codex_Logs
2026-06-28-summary,每日摘要 - 2026-06-28,07_Codex_Logs
2026-06-29-summary,每日摘要 - 2026-06-29,07_Codex_Logs
2026-06-30-summary,每日摘要 - 2026-06-30,07_Codex_Logs
2026-07-01-summary,每日摘要 - 2026-07-01,07_Codex_Logs
2026-07-02-summary,每日摘要 - 2026-07-02,07_Codex_Logs
2026-07-03-summary,每日摘要 - 2026-07-03,07_Codex_Logs
2026-06-18,每日 Codex 日志 - 2026-06-18,07_Codex_Logs
2026-06-19,每日 Codex 日志 - 2026-06-19,07_Codex_Logs
2026-06-20,每日 Codex 日志 - 2026-06-20,07_Codex_Logs
2026-06-21,每日 Codex 日志 - 2026-06-21,07_Codex_Logs
2026-06-27,每日 Codex 日志 - 2026-06-27,07_Codex_Logs
2026-06-28,每日 Codex 日志 - 2026-06-28,07_Codex_Logs
2026-06-29,每日 Codex 日志 - 2026-06-29,07_Codex_Logs
2026-06-30,每日 Codex 日志 - 2026-06-30,07_Codex_Logs
2026-07-01,每日 Codex 日志 - 2026-07-01,07_Codex_Logs
2026-07-02,每日 Codex 日志 - 2026-07-02,07_Codex_Logs
2026-07-03,每日 Codex 日志 - 2026-07-03,07_Codex_Logs
2026-06-18-file-sweep,文件整理记录 - 2026-06-18,07_Codex_Logs
2026-06-19-file-sweep,文件整理记录 - 2026-06-19,07_Codex_Logs
2026-06-20-file-sweep,文件整理记录 - 2026-06-20,07_Codex_Logs
2026-06-21-file-sweep,文件整理记录 - 2026-06-21,07_Codex_Logs
2026-06-27-file-sweep,文件整理记录 - 2026-06-27,07_Codex_Logs
2026-06-28-file-sweep,文件整理记录 - 2026-06-28,07_Codex_Logs
2026-06-29-file-sweep,文件整理记录 - 2026-06-29,07_Codex_Logs
2026-06-30-file-sweep,文件整理记录 - 2026-06-30,07_Codex_Logs
2026-07-01-file-sweep,文件整理记录 - 2026-07-01,07_Codex_Logs
2026-07-02-file-sweep,文件整理记录 - 2026-07-02,07_Codex_Logs
2026-07-03-file-sweep,文件整理记录 - 2026-07-03,07_Codex_Logs
2026-06-29-workflow-audit,工作流审计 - 2026-06-29,07_Codex_Logs
2026-06-30-workflow-audit,工作流审计 - 2026-06-30,07_Codex_Logs
2026-07-01-workflow-audit,工作流审计 - 2026-07-01,07_Codex_Logs
2026-07-02-workflow-audit,工作流审计 - 2026-07-02,07_Codex_Logs
2026-07-03-workflow-audit,工作流审计 - 2026-07-03,07_Codex_Logs
2026-W25,每周 Codex 复盘 - 2026-W25,08_Weekly_Reviews
2026-W26,每周 Codex 复盘 - 2026-W26,08_Weekly_Reviews
2026-W27,每周 Codex 复盘 - 2026-W27,08_Weekly_Reviews
2026-06-18-context-pack,上下文包 - 2026-06-18,09_Context_Packs
2026-06-19-context-pack,上下文包 - 2026-06-19,09_Context_Packs
2026-06-20-context-pack,上下文包 - 2026-06-20,09_Context_Packs
2026-06-21-context-pack,上下文包 - 2026-06-21,09_Context_Packs
2026-06-27-context-pack,上下文包 - 2026-06-27,09_Context_Packs
2026-06-28-context-pack,上下文包 - 2026-06-28,09_Context_Packs
2026-06-29-context-pack,上下文包 - 2026-06-29,09_Context_Packs
2026-06-30-context-pack,上下文包 - 2026-06-30,09_Context_Packs
2026-07-01-context-pack,上下文包 - 2026-07-01,09_Context_Packs
2026-07-02-context-pack,上下文包 - 2026-07-02,09_Context_Packs
2026-07-03-context-pack,上下文包 - 2026-07-03,09_Context_Packs
User Model,用户模型,10_User_Model
20260618-codex-first-research-idea-incubation,Codex-first research idea incubation,idea
2026-06-18-210527-codex-first-research-idea-generation,头脑风暴 - Codex-first research idea generation,idea
2026-06-18-knowledge,科研方法学习系统,learning
2026-06-20-hook-model,Hook Model 上瘾模型,learning
2026-06-22-library_short_video,CNKI 每日论文推荐 - 图书馆短视频相关研究,15_CNKI_Frontier
cnki_2023_82f69af538,高校图书馆B站视频传播效果影响因素实证研究,linked
图书馆短视频账号传播力研究——以省级公共图书馆为例,图书馆短视频账号传播力研究——以省级公共图书馆为例,linked
公共图书馆阅读服务类抖音短视频传播效果的影响因素研究,公共图书馆阅读服务类抖音短视频传播效果的影响因素研究,linked
双链,双链,linked
2026-06-20-library_short_video,CNKI 每日论文推荐 - 图书馆短视频相关研究,15_CNKI_Frontier
2026-06-21-library_short_video-after-refresh,CNKI 每日论文推荐 - 图书馆短视频相关研究,15_CNKI_Frontier
2026-06-21-library_short_video-next-after-main,CNKI 每日论文推荐 - 图书馆短视频相关研究,15_CNKI_Frontier
2026-06-21-library_short_video,CNKI 每日论文推荐 - 图书馆短视频相关研究,15_CNKI_Frontier
2026-06-20-cnki-frontier,CNKI 前沿雷达 - 2026-06-20,15_CNKI_Frontier
2026-06-30-library_short_video-cnki-download-intake-report,CNKI 导入报告 - 图书馆短视频相关研究,15_CNKI_Frontier
2026-06-30-library_short_video-cnki-download-request,CNKI 人工下载交接清单 - 图书馆短视频相关研究,15_CNKI_Frontier
cnki_2020_64b4f881c9,图书馆短视频发展现状、问题与对策分析——以抖音平台为例,15_CNKI_Frontier
cnki_2021_dddc719517,“新4C法则”下图书馆网络直播营销策略研究,15_CNKI_Frontier
cnki_2022_efd2209e07,基于4P营销模型的高校图书馆读书类短视频运营策略研究,15_CNKI_Frontier
Home,科研工作流首页,home
11_Idea_Lab/README,想法实验室 README,linked
