file_path,file_name,matched_citekey,matched_title,read_status,has_pdf,has_reader,project_gap,evidence_value,duplicate_group_size,next_action
library/pdfs/library_short_video/incoming/抖音阅读推广短视频传播效果影响因素研究_杨达森.pdf,抖音阅读推广短视频传播效果影响因素研究_杨达森.pdf,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,skimmed,yes,yes,传播力评价；服务价值指标；机制解释,high,2,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/传统戏剧类非遗短视频青少年观看意愿的影响因素——以皮影短视频为例_薛可.pdf,传统戏剧类非遗短视频青少年观看意愿的影响因素——以皮影短视频为例_薛可.pdf,,,unmatched,no,no,机制解释,medium,1,external_comparison_or_ignore
library/pdfs/library_short_video/incoming/政务短视频公众参与的影响因素研究——以“共青团中央”政务抖音号为例_陈强.pdf,政务短视频公众参与的影响因素研究——以“共青团中央”政务抖音号为例_陈强.pdf,,,unmatched,no,no,机制解释,medium,1,external_comparison_or_ignore
library/pdfs/library_short_video/incoming/档案短视频传播效果的影响因素_杨达森 (1).pdf,档案短视频传播效果的影响因素_杨达森 (1).pdf,,,unmatched,no,no,传播力评价；机制解释,medium,2,duplicate_keep_one_then_archive
library/pdfs/library_short_video/incoming/档案短视频传播效果的影响因素_杨达森.pdf,档案短视频传播效果的影响因素_杨达森.pdf,,,unmatched,no,no,传播力评价；机制解释,medium,2,external_comparison_or_ignore
library/pdfs/library_short_video/incoming/面向短视频平台的非遗信息搜寻行为影响因素研究——基于层次回归和模糊集定性比较方法_徐孝娟.pdf,面向短视频平台的非遗信息搜寻行为影响因素研究——基于层次回归和模糊集定性比较方法_徐孝娟.pdf,,,unmatched,no,no,机制解释,medium,1,external_comparison_or_ignore
library/pdfs/library_short_video/incoming/高校共青团抖音短视频传播效果影响因素实证研究——基于全国100所高校共青团抖音号的内容分析_黄艳__.pdf,高校共青团抖音短视频传播效果影响因素实证研究——基于全国100所高校共青团抖音号的内容分析_黄艳__.pdf,,,unmatched,no,no,传播力评价；机制解释,medium,1,external_comparison_or_ignore
library/pdfs/library_short_video/incoming/图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索_高晓晶.pdf,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索_高晓晶.pdf,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,skimmed,yes,yes,传播力评价；机制解释,medium-high,1,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/图书馆短视频账号传播力研究——以省级公共图书馆为例_王兴兰.pdf,图书馆短视频账号传播力研究——以省级公共图书馆为例_王兴兰.pdf,cnki_2021_645f03f388,图书馆短视频账号传播力研究——以省级公共图书馆为例,skimmed,yes,yes,传播力评价；机制解释,medium-high,1,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/公共图书馆和高校图书馆短视频营销比较研究_龚雪竹 (1).pdf,公共图书馆和高校图书馆短视频营销比较研究_龚雪竹 (1).pdf,cnki_2021_3771e58987,公共图书馆和高校图书馆短视频营销比较研究,skimmed,yes,yes,待判断,review,2,duplicate_keep_one_then_archive
library/pdfs/library_short_video/incoming/公共图书馆和高校图书馆短视频营销比较研究_龚雪竹.pdf,公共图书馆和高校图书馆短视频营销比较研究_龚雪竹.pdf,cnki_2021_3771e58987,公共图书馆和高校图书馆短视频营销比较研究,skimmed,yes,yes,待判断,review,2,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/图书馆热门短视频内容规律探究——基于抖音平台的实证研究_沈丽红.pdf,图书馆热门短视频内容规律探究——基于抖音平台的实证研究_沈丽红.pdf,cnki_2020_2a150c6df8,图书馆热门短视频内容规律探究——基于抖音平台的实证研究,skimmed,yes,yes,待判断,review,1,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/图书馆短视频发展现状、问题与对策分析——以抖音平台为例_王海燕.pdf,图书馆短视频发展现状、问题与对策分析——以抖音平台为例_王海燕.pdf,cnki_2020_64b4f881c9,图书馆短视频发展现状、问题与对策分析——以抖音平台为例,skimmed,yes,yes,待判断,review,1,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/政务短视频如何爆发影响力_基于政务抖音号的内容分析_王程伟.pdf,政务短视频如何爆发影响力_基于政务抖音号的内容分析_王程伟.pdf,,,unmatched,no,no,待判断,unknown,1,external_comparison_or_ignore
